ActionType,SubAction,Nationality,ID,ActionDate
Placements,New Family,Other,999028,2018-10-02 21:56:09
Placements,New Family,Filipina,999029,2018-10-02 21:56:10
Placements,New Family,Other,999030,2018-10-02 21:56:12
Placements,New Family,Filipina,999031,2018-10-02 21:56:13
Placements,New Family,Other,999032,2018-10-02 21:56:14
Placements,New Family,Ethiopian,999033,2018-10-02 21:56:15
Placements,New Family,Filipina,999034,2018-10-02 21:56:17
Placements,New Family,Filipina,999035,2018-10-02 21:56:18
Placements,New Family,Filipina,999036,2018-10-02 21:56:19
Placements,New Family,Other,999037,2018-10-02 21:56:20
Placements,New Family,Other,999038,2018-10-02 21:56:22
Placements,New Family,Filipina,999039,2018-10-02 21:56:23
Placements,New Family,Other,999040,2018-10-02 21:56:24
Placements,New Family,African,999041,2018-10-02 21:56:26
Placements,New Family,Filipina,999042,2018-10-02 21:56:27
Placements,New Family,Other,999043,2018-10-02 21:56:28
Placements,New Family,Filipina,999044,2018-10-02 21:56:30
Placements,New Family,Filipina,999045,2018-10-02 21:56:31
Placements,New Family,Filipina,999046,2018-10-02 21:56:32
Placements,New Family,Filipina,999047,2018-10-02 21:56:33
Placements,New Family,Other,999048,2018-10-02 21:56:35
Placements,New Family,Filipina,999049,2018-10-02 21:56:36
Placements,New Family,African,999050,2018-10-02 21:56:37
Placements,New Family,Other,999051,2018-10-02 21:56:38
Placements,New Family,African,999052,2018-10-02 21:56:40
Placements,New Family,African,999053,2018-10-03 11:51:47
Placements,New Family,Filipina,999054,2018-10-02 22:38:55
Placements,New Family,Filipina,999055,2018-10-02 22:38:56
Placements,New Family,Filipina,999056,2018-10-02 22:38:57
Placements,New Family,Filipina,999057,2018-10-02 22:38:58
Placements,New Family,Filipina,999058,2018-10-02 22:38:59
Placements,Active Family,Other,999059,2018-10-02 22:38:59
Placements,Active Family,African,999060,2018-10-02 22:38:59
Placements,Active Family,Other,999061,2018-10-02 22:39:00
Placements,New Family,Filipina,999062,2018-10-02 22:39:00
Placements,New Family,Filipina,999063,2018-10-02 22:39:01
Placements,New Family,Filipina,999064,2018-10-02 22:39:02
Placements,New Family,Filipina,999065,2018-10-02 22:39:03
Placements,New Family,Other,999066,2018-10-02 22:39:04
Placements,New Family,Other,999067,2018-10-02 22:39:05
Placements,New Family,Other,999068,2018-10-02 22:39:06
Placements,New Family,Other,999069,2018-10-02 22:39:07
Placements,New Family,Other,999070,2018-10-02 22:39:08
Placements,New Family,Filipina,999071,2018-10-02 22:39:09
Placements,Ex-CC-Live-In,Filipina,999072,2018-10-02 22:39:09
Placements,New Family,Other,999073,2018-10-02 22:39:10
Placements,New Family,Other,999074,2018-10-02 22:39:11
Placements,New Family,Filipina,999075,2018-10-02 22:39:12
Placements,New Family,Other,999076,2018-10-02 22:39:13
Placements,New Family,African,999077,2018-10-02 22:39:14
Placements,New Family,African,999078,2018-10-02 22:39:15
Placements,New Family,Other,999079,2018-10-02 22:39:15
Placements,New Family,Other,999080,2018-10-02 22:39:16
Placements,New Family,Filipina,999081,2018-10-02 22:39:17
Placements,New Family,Other,999082,2018-10-02 22:39:18
Placements,Active Family,Other,999083,2018-10-02 22:39:19
Placements,New Family,Other,999084,2018-10-02 22:39:20
Placements,New Family,Filipina,999085,2018-10-02 22:39:20
Placements,New Family,African,999086,2018-10-02 22:39:21
Placements,New Family,Filipina,999087,2018-10-02 22:39:22
Placements,New Family,Ethiopian,999088,2018-10-02 22:39:23
Placements,New Family,African,999089,2018-10-02 22:39:24
Placements,New Family,Other,999090,2018-10-02 22:39:25
Placements,New Family,Filipina,999091,2018-10-03 11:51:48
Placements,New Family,Filipina,999092,2018-10-02 22:40:52
Placements,New Family,Other,999093,2018-10-02 22:40:53
Placements,New Family,Other,999094,2018-10-02 22:40:54
Placements,New Family,Other,999095,2018-10-02 22:40:55
Placements,New Family,Filipina,999096,2018-10-02 22:40:56
Placements,New Family,Filipina,999097,2018-10-02 22:40:57
Placements,New Family,Other,999098,2018-10-02 22:40:57
Placements,New Family,Other,999099,2018-10-02 22:40:58
Placements,New Family,Filipina,999100,2018-10-02 22:40:59
Placements,Active Family,African,999101,2018-10-02 22:40:59
Placements,New Family,Filipina,999102,2018-10-03 11:51:49
Placements,New Family,Filipina,999103,2018-10-02 22:42:06
Placements,New Family,Filipina,999104,2018-10-02 22:42:07
Placements,New Family,Filipina,999105,2018-10-02 22:42:08
Placements,New Family,Other,999106,2018-10-02 22:42:09
Placements,New Family,African,999107,2018-10-02 22:42:10
Placements,New Family,Other,999108,2018-10-02 22:42:11
Placements,New Family,Filipina,999109,2018-10-02 22:42:12
Placements,New Family,Filipina,999110,2018-10-02 22:42:13
Placements,New Family,Other,999111,2018-10-02 22:42:14
Placements,New Family,Filipina,999113,2018-10-03 12:50:02
Placements,New Family,Ethiopian,999121,2018-10-04 12:27:27
Placements,New Family,Filipina,999123,2018-10-04 15:52:39
Placements,New Family,African,999126,2018-10-04 20:36:00
Placements,New Family,Filipina,999137,2018-10-06 14:35:47
Placements,New Family,Other,999140,2018-10-06 14:57:17
Placements,New Family,Other,999141,2018-10-06 15:03:36
Placements,New Family,Other,999142,2018-10-06 15:37:29
Placements,New Family,Filipina,999143,2018-10-06 16:22:15
Placements,New Family,Ethiopian,999144,2018-10-06 16:25:35
Placements,New Family,Filipina,999154,2018-10-06 19:29:36
Placements,New Family,Filipina,999155,2018-10-06 19:43:37
Placements,New Family,Other,999159,2018-10-07 13:14:04
Placements,New Family,Other,999170,2018-10-08 09:41:04
Placements,New Family,Filipina,999179,2018-10-08 15:14:28
Placements,New Family,Filipina,999183,2018-10-08 18:48:48
Placements,New Family,Other,999185,2018-10-08 20:34:58
Placements,New Family,African,999190,2018-10-09 11:29:51
Placements,New Family,Other,999192,2018-10-09 15:12:50
Placements,New Family,African,999199,2018-10-10 11:33:11
Placements,New Family,Ethiopian,999201,2018-10-10 13:27:30
Placements,New Family,Other,999202,2018-10-10 14:25:26
Placements,New Family,Other,999203,2018-10-10 14:36:23
Placements,New Family,Filipina,999209,2018-10-11 09:51:25
Placements,New Family,Other,999210,2018-10-11 11:04:32
Placements,New Family,Other,999211,2018-10-11 12:48:46
Placements,New Family,Filipina,999225,2018-10-13 11:25:31
Placements,New Family,Filipina,999228,2018-10-13 14:39:02
Placements,New Family,Other,999230,2018-10-13 15:01:18
Placements,New Family,Filipina,999232,2018-10-13 15:37:16
Placements,New Family,Filipina,999238,2018-10-13 19:35:05
Placements,New Family,Filipina,999240,2018-10-13 20:32:51
Placements,New Family,Other,999244,2018-10-14 11:46:04
Placements,New Family,Other,999254,2018-10-15 12:21:57
Placements,New Family,Other,999260,2018-10-15 17:49:55
Placements,New Family,Filipina,999262,2018-10-15 19:55:24
Placements,New Family,Filipina,999266,2018-10-16 15:46:09
Placements,New Family,Other,999269,2018-10-16 19:33:16
Placements,New Family,Ethiopian,999275,2018-10-17 10:28:11
Placements,New Family,Other,999277,2018-10-17 11:06:35
Placements,New Family,Filipina,999280,2018-10-17 11:53:56
Placements,New Family,Other,999282,2018-10-17 13:30:12
Placements,New Family,Filipina,999286,2018-10-17 19:01:37
Placements,New Family,African,999290,2018-10-18 09:46:03
Placements,Active Family,African,999292,2018-10-18 13:56:09
Placements,New Family,Filipina,999306,2018-10-20 11:09:23
Placements,New Family,Other,999311,2018-10-20 14:31:22
Placements,New Family,Other,999322,2018-10-20 17:52:45
Placements,New Family,Filipina,999331,2018-10-21 13:52:41
Placements,New Family,Filipina,999334,2018-10-21 14:44:53
Placements,New Family,Filipina,999338,2018-10-22 11:49:06
Placements,New Family,Other,999341,2018-10-22 13:25:14
Placements,New Family,Filipina,999343,2018-10-22 16:30:18
Placements,New Family,Other,999350,2018-10-23 11:52:15
Placements,New Family,Filipina,999360,2018-10-24 12:56:12
Placements,New Family,African,999362,2018-10-24 14:22:14
Placements,New Family,Other,999367,2018-10-24 15:48:30
Placements,New Family,African,999368,2018-10-24 16:02:49
Placements,New Family,Filipina,999369,2018-10-24 16:12:11
Placements,New Family,African,999374,2018-10-25 13:38:21
Placements,New Family,African,999392,2018-10-27 10:16:57
Placements,New Family,Other,999393,2018-10-27 14:35:44
Placements,New Family,Filipina,999398,2018-10-27 17:59:06
Placements,New Family,African,999408,2018-10-28 17:35:27
Placements,New Family,Other,999414,2018-10-29 14:53:00
Placements,New Family,Filipina,999425,2018-10-30 14:57:05
Placements,New Family,Other,999426,2018-10-30 16:43:01
Placements,New Family,Filipina,999428,2018-10-30 21:14:09
Placements,New Family,Filipina,999431,2018-10-31 10:57:03
Placements,New Family,Filipina,999436,2018-10-31 19:15:21
Placements,New Family,Ethiopian,999445,2018-11-01 17:03:52
Placements,New Family,Filipina,999447,2018-11-01 18:02:12
Placements,New Family,Ethiopian,999448,2018-11-01 18:10:56
Placements,New Family,African,999450,2018-11-02 11:01:47
Placements,New Family,African,999454,2018-11-02 18:51:04
Placements,New Family,Filipina,999462,2018-11-03 10:26:58
Placements,New Family,Ethiopian,999476,2018-11-03 20:59:13
Placements,New Family,Other,999477,2018-11-03 21:13:11
Placements,New Family,Filipina,999486,2018-11-04 14:40:29
Placements,New Family,Other,999495,2018-11-04 19:53:26
Placements,New Family,Filipina,999502,2018-11-05 16:59:18
Placements,New Family,Filipina,999507,2018-11-05 20:02:11
Placements,Active Family,Other,999508,2018-11-05 20:14:12
Placements,New Family,Filipina,999509,2018-11-05 20:21:29
Placements,New Family,African,999514,2018-11-06 14:27:56
Placements,New Family,Filipina,999515,2018-11-06 14:56:57
Placements,Active Family,Ethiopian,999526,2018-11-07 13:15:15
Placements,New Family,Other,999533,2018-11-07 17:40:01
Placements,New Family,Filipina,999534,2018-11-07 19:27:49
Placements,Active Family,Other,999540,2018-11-08 10:41:47
Placements,New Family,Other,999545,2018-11-08 15:52:20
Placements,New Family,Filipina,999548,2018-11-08 17:03:50
Placements,New Family,Other,999550,2018-11-08 20:14:38
Placements,New Family,Ethiopian,999553,2018-11-08 23:15:56
Placements,New Family,African,999555,2018-11-09 17:21:56
Placements,New Family,Other,999561,2018-11-10 14:23:56
Placements,New Family,Ethiopian,999571,2018-11-11 09:07:57
Placements,New Family,Filipina,999583,2018-11-11 20:13:20
Placements,New Family,African,999587,2018-11-12 12:07:04
Placements,New Family,Other,999588,2018-11-12 12:48:34
Placements,New Family,Other,999599,2018-11-13 11:13:39
Placements,New Family,Other,999605,2018-11-13 14:36:20
Placements,New Family,African,999609,2018-11-13 18:14:41
Placements,New Family,Filipina,999613,2018-11-14 11:01:52
Placements,New Family,Filipina,999617,2018-11-14 14:46:49
Placements,New Family,Filipina,999620,2018-11-14 18:46:55
Placements,New Family,Other,999623,2018-11-15 11:41:25
Placements,New Family,Filipina,999624,2018-11-15 11:54:31
Placements,Ex-CC-Live-In,African,999631,2018-11-16 16:22:25
Placements,New Family,Filipina,999638,2018-11-17 11:17:55
Placements,New Family,Filipina,999644,2018-11-17 15:51:38
Placements,New Family,Filipina,999647,2018-11-17 16:43:11
Placements,Active Family,Other,999653,2018-11-18 16:01:36
Placements,New Family,Filipina,999665,2018-11-19 18:49:28
Placements,New Family,Other,999679,2018-11-20 18:01:28
Placements,New Family,Filipina,999688,2018-11-22 10:09:05
Placements,New Family,African,999695,2018-11-22 20:21:16
Placements,New Family,Other,999706,2018-11-24 14:08:37
Placements,New Family,Other,999717,2018-11-25 10:35:23
Placements,New Family,Filipina,999721,2018-11-25 17:29:01
Placements,New Family,Other,999722,2018-11-25 18:17:23
Placements,New Family,Filipina,999727,2018-11-26 11:25:03
Placements,New Family,Ethiopian,999733,2018-11-26 15:16:32
Placements,New Family,Filipina,999735,2018-11-26 17:57:06
Placements,New Family,Other,999740,2018-11-27 11:41:20
Placements,New Family,Filipina,999743,2018-11-27 14:03:38
Placements,New Family,Other,999750,2018-11-27 20:30:05
Placements,New Family,Other,999751,2018-11-28 13:40:28
Placements,New Family,Filipina,999763,2018-11-28 20:34:48
Placements,New Family,African,999765,2018-11-29 09:18:40
Placements,New Family,Filipina,999766,2018-11-29 11:46:29
Placements,New Family,Filipina,999768,2018-11-29 13:55:34
Placements,New Family,Other,999771,2018-11-29 16:08:29
Placements,New Family,Other,999782,2018-12-01 09:29:41
Placements,New Family,Filipina,999791,2018-12-01 14:28:51
Placements,New Family,Other,999819,2018-12-04 14:29:06
Placements,New Family,Filipina,999820,2018-12-04 16:21:18
Placements,New Family,Filipina,999823,2018-12-04 17:44:35
Placements,New Family,Other,999824,2018-12-04 17:49:55
Placements,New Family,Filipina,999827,2018-12-04 19:52:56
Placements,New Family,Filipina,999829,2018-12-05 09:30:37
Placements,New Family,Filipina,999833,2018-12-05 15:18:48
Placements,New Family,Other,999837,2018-12-05 20:40:03
Placements,New Family,Filipina,999839,2018-12-06 13:40:09
Placements,Ex-CC-Live-In,Filipina,999850,2018-12-08 12:19:26
Placements,New Family,Other,999855,2018-12-08 14:37:11
Placements,New Family,Other,999856,2018-12-08 14:46:19
Placements,Active Family,Other,999872,2018-12-09 14:30:17
Placements,New Family,African,999879,2018-12-09 18:39:18
Placements,New Family,Other,999883,2018-12-10 12:07:16
Placements,New Family,Ethiopian,999885,2018-12-10 13:55:47
Placements,New Family,Filipina,999886,2018-12-10 14:15:13
Placements,New Family,Filipina,999889,2018-12-10 17:59:15
Placements,New Family,Other,999894,2018-12-11 10:54:01
Placements,New Family,Other,999895,2018-12-11 14:14:36
Placements,New Family,Other,999905,2018-12-13 09:19:18
Placements,New Family,African,999907,2018-12-13 12:44:57
Placements,New Family,Ethiopian,999914,2018-12-13 18:24:07
Placements,New Family,Filipina,999923,2018-12-15 15:27:08
Placements,New Family,Other,999932,2018-12-16 12:23:18
Placements,New Family,Ethiopian,999937,2018-12-16 19:21:17
Placements,New Family,Other,999944,2018-12-17 13:46:00
Placements,New Family,Other,999945,2018-12-17 14:31:46
Placements,Ex-CC-Live-In,Other,999950,2018-12-17 20:45:55
Placements,New Family,Other,999956,2018-12-18 17:46:27
Placements,New Family,Filipina,999957,2018-12-18 18:43:51
Placements,New Family,African,999958,2018-12-18 19:39:40
Placements,New Family,Filipina,999966,2018-12-19 15:21:53
Placements,New Family,Other,999969,2018-12-19 20:02:08
Placements,New Family,Other,999971,2018-12-20 09:50:56
Placements,New Family,African,999976,2018-12-20 17:12:11
Placements,New Family,Filipina,999980,2018-12-21 14:43:27
Placements,New Family,Filipina,999987,2018-12-22 13:20:52
Placements,New Family,Other,999995,2018-12-22 16:59:55
Placements,New Family,African,1000001,2018-12-23 13:25:51
Placements,New Family,Other,1000002,2018-12-23 14:34:24
Placements,New Family,Filipina,1000014,2018-12-24 12:14:57
Placements,Active Family,Filipina,1000016,2018-12-24 14:35:15
Placements,New Family,Other,1000036,2018-12-27 19:57:57
Placements,New Family,Other,1000040,2018-12-28 16:47:48
Placements,New Family,Ethiopian,1000049,2018-12-29 15:50:35
Placements,New Family,Filipina,1000051,2018-12-29 16:47:17
Placements,Active Family,Filipina,1000060,2018-12-30 10:37:20
Placements,New Family,Filipina,1000069,2018-12-30 19:21:08
Placements,Active Family,Other,1000070,2018-12-31 10:26:12
Placements,New Family,Other,1000073,2018-12-31 12:40:32
Placements,New Family,Ethiopian,1000084,2019-01-02 11:06:41
Placements,New Family,African,1000122,2019-01-05 10:24:35
Placements,New Family,Other,1000150,2019-01-07 11:18:34
Placements,New Family,Filipina,1000162,2019-01-07 20:30:52
Placements,New Family,Filipina,1000168,2019-01-08 16:50:22
Placements,New Family,Filipina,1000169,2019-01-09 11:39:37
Placements,New Family,Other,1000170,2019-01-09 12:23:58
Placements,New Family,Filipina,1000177,2019-01-10 16:23:06
Placements,New Family,Filipina,1000178,2019-01-10 16:48:50
Placements,New Family,Filipina,1000197,2019-01-13 15:52:14
Placements,New Family,Other,1000200,2019-01-13 18:20:08
Placements,New Family,Filipina,1000202,2019-01-13 18:57:39
Placements,New Family,Filipina,1000206,2019-01-14 14:02:31
Placements,New Family,Other,1000217,2019-01-15 13:59:09
Placements,New Family,Filipina,1000247,2019-01-17 17:25:08
Placements,New Family,Filipina,1000248,2019-01-17 17:30:25
Placements,New Family,Other,1000263,2019-01-19 12:20:53
Placements,New Family,African,1000264,2019-01-19 13:43:07
Placements,New Family,Filipina,1000271,2019-01-19 16:38:41
Placements,New Family,Filipina,1000276,2019-01-20 09:35:29
Placements,New Family,Other,1000277,2019-01-20 10:04:52
Placements,New Family,Ethiopian,1000285,2019-01-21 10:27:57
Placements,New Family,Filipina,1000287,2019-01-21 11:43:43
Placements,New Family,Ethiopian,1000294,2019-01-21 20:48:01
Placements,New Family,African,1000297,2019-01-22 13:10:41
Placements,New Family,Other,1000302,2019-01-22 19:59:19
Placements,New Family,Ethiopian,1000306,2019-01-23 10:37:37
Placements,New Family,Other,1000328,2019-01-25 19:03:31
Placements,New Family,Other,1000333,2019-01-26 11:01:51
Placements,New Family,Filipina,1000343,2019-01-27 09:52:44
Placements,New Family,Filipina,1000345,2019-01-27 11:48:25
Placements,New Family,Other,1000346,2019-01-27 11:53:20
Placements,New Family,Filipina,1000347,2019-01-27 14:25:21
Placements,New Family,Ethiopian,1000350,2019-01-27 17:31:27
Placements,New Family,African,1000352,2019-01-27 18:11:39
Placements,New Family,Filipina,1000363,2019-01-28 16:59:55
Placements,Active Family,Ethiopian,1000368,2019-01-29 11:32:20
Placements,New Family,African,1000377,2019-01-30 13:52:29
Placements,Active Family,Other,1000380,2019-01-30 18:18:56
Placements,New Family,Other,1000381,2019-01-30 19:04:07
Placements,New Family,Other,1000394,2019-01-31 17:56:15
Placements,New Family,Other,1000397,2019-02-01 10:50:20
Placements,Active Family,Ethiopian,1000401,2019-02-01 18:10:45
Placements,New Family,Filipina,1000402,2019-02-01 18:19:53
Placements,New Family,Other,1000404,2019-02-01 19:13:28
Placements,New Family,Ethiopian,1000409,2019-02-02 11:01:14
Placements,New Family,African,1000419,2019-02-02 14:09:04
Placements,New Family,Filipina,1000429,2019-02-03 10:37:49
Placements,New Family,Ethiopian,1000435,2019-02-03 13:16:30
Placements,New Family,Other,1000438,2019-02-03 16:16:31
Placements,New Family,Other,1000441,2019-02-03 18:31:07
Placements,New Family,Filipina,1000442,2019-02-03 19:10:33
Placements,New Family,Filipina,1000443,2019-02-04 09:32:23
Placements,New Family,Filipina,1000444,2019-02-04 10:35:55
Placements,New Family,Other,1000446,2019-02-04 13:16:09
Placements,New Family,Filipina,1000449,2019-02-04 14:30:04
Placements,New Family,Filipina,1000450,2019-02-04 15:28:10
Placements,New Family,African,1000455,2019-02-05 12:41:25
Placements,New Family,Other,1000456,2019-02-05 12:55:20
Placements,Active Family,Other,1000461,2019-02-05 16:46:35
Placements,New Family,Filipina,1000462,2019-02-05 17:12:17
Placements,New Family,Other,1000466,2019-02-05 19:12:59
Placements,New Family,African,1000477,2019-02-06 16:01:19
Placements,New Family,Other,1000489,2019-02-07 13:30:20
Placements,Ex-CC-Live-In,African,1000492,2019-02-07 14:34:37
Placements,New Family,Ethiopian,1000493,2019-02-07 18:49:17
Placements,New Family,African,1000495,2019-02-07 21:44:44
Placements,New Family,Other,1000497,2019-02-08 18:13:54
Placements,New Family,African,1000501,2019-02-09 12:54:22
Placements,Active Family,African,1000502,2019-02-09 13:11:30
Placements,New Family,Other,1000504,2019-02-09 13:52:24
Placements,New Family,Filipina,1000505,2019-02-09 14:04:27
Placements,New Family,Other,1000509,2019-02-09 14:43:10
Placements,New Family,Filipina,1000513,2019-02-09 16:17:36
Placements,New Family,Ethiopian,1000526,2019-02-11 10:37:24
Placements,New Family,African,1000527,2019-02-11 11:11:04
Placements,New Family,Filipina,1000533,2019-02-12 12:18:48
Placements,New Family,Other,1000535,2019-02-12 13:36:07
Placements,New Family,Filipina,1000540,2019-02-12 17:00:03
Placements,New Family,Filipina,1000541,2019-02-12 17:31:07
Placements,New Family,Other,1000549,2019-02-13 14:19:45
Placements,New Family,Filipina,1000555,2019-02-14 09:50:18
Placements,New Family,African,1000558,2019-02-14 11:33:55
Placements,New Family,African,1000559,2019-02-14 12:37:21
Placements,New Family,Other,1000560,2019-02-14 17:07:32
Placements,New Family,African,1000565,2019-02-14 21:12:18
Placements,New Family,Filipina,1000583,2019-02-16 16:13:02
Placements,New Family,Ethiopian,1000585,2019-02-16 17:04:21
Placements,New Family,Filipina,1000590,2019-02-16 18:50:33
Placements,New Family,Other,1000591,2019-02-16 19:18:54
Placements,New Family,African,1000595,2019-02-17 11:42:17
Placements,New Family,Other,1000597,2019-02-17 13:37:26
Placements,New Family,Filipina,1000599,2019-02-17 14:42:09
Placements,New Family,Other,1000609,2019-02-18 16:12:00
Placements,New Family,Filipina,1000610,2019-02-18 17:05:21
Placements,New Family,African,1000612,2019-02-18 17:46:52
Placements,New Family,Filipina,1000613,2019-02-18 17:54:06
Placements,New Family,Other,1000616,2019-02-18 19:25:05
Placements,New Family,African,1000617,2019-02-18 19:41:30
Placements,Active Family,African,1000622,2019-02-19 14:21:48
Placements,New Family,Filipina,1000627,2019-02-19 19:47:19
Placements,Active Family,Filipina,1000630,2019-02-20 10:20:28
Placements,New Family,Other,1000632,2019-02-20 12:41:17
Placements,New Family,Filipina,1000636,2019-02-20 17:29:36
Placements,New Family,Filipina,1000638,2019-02-20 18:16:13
Placements,New Family,Filipina,1000639,2019-02-20 18:36:56
Placements,Ex-CC-Live-In,Filipina,1000640,2019-02-20 19:03:42
Placements,New Family,Other,1000641,2019-02-20 19:04:38
Placements,New Family,Other,1000643,2019-02-20 20:12:45
Placements,Active Family,Other,1000645,2019-02-21 09:23:52
Placements,New Family,Other,1000647,2019-02-21 11:51:56
Placements,New Family,Ethiopian,1000652,2019-02-21 16:43:49
Placements,New Family,Ethiopian,1000654,2019-02-21 20:05:32
Placements,New Family,Filipina,1000656,2019-02-21 21:03:18
Placements,New Family,Ethiopian,1000660,2019-02-22 15:36:18
Placements,New Family,Other,1000664,2019-02-22 20:49:52
Placements,New Family,African,1000668,2019-02-23 12:18:48
Placements,New Family,Ethiopian,1000669,2019-02-23 12:27:46
Placements,New Family,African,1000676,2019-02-23 15:41:27
Placements,New Family,Filipina,1000679,2019-02-23 20:02:00
Placements,New Family,Other,1000694,2019-02-25 17:07:35
Placements,Active Family,Filipina,1000698,2019-02-25 21:51:39
Placements,New Family,Filipina,1000703,2019-02-26 11:06:30
Placements,New Family,Other,1000706,2019-02-26 12:42:41
Placements,New Family,Other,1000714,2019-02-27 12:22:25
Placements,New Family,Filipina,1000717,2019-02-27 16:00:46
Placements,New Family,Other,1000725,2019-02-28 09:35:27
Placements,New Family,Other,1000731,2019-02-28 12:49:59
Placements,New Family,Ethiopian,1000732,2019-02-28 13:56:35
Placements,New Family,Ethiopian,1000733,2019-02-28 14:15:45
Placements,New Family,Other,1000743,2019-03-01 15:15:57
Placements,New Family,Ethiopian,1000749,2019-03-01 18:59:38
Placements,New Family,Filipina,1000751,2019-03-02 09:17:03
Placements,Active Family,Other,1000752,2019-03-02 10:11:59
Placements,Active Family,Other,1000753,2019-03-02 10:23:07
Placements,New Family,Filipina,1000756,2019-03-02 11:46:48
Placements,New Family,Ethiopian,1000760,2019-03-02 12:35:32
Placements,New Family,Filipina,1000764,2019-03-02 13:23:23
Placements,New Family,Filipina,1000766,2019-03-02 14:13:54
Placements,New Family,Ethiopian,1000770,2019-03-02 15:20:16
Placements,Active Family,Filipina,1000775,2019-03-02 16:37:29
Placements,New Family,Other,1000779,2019-03-02 17:44:50
Placements,New Family,Filipina,1000783,2019-03-02 20:37:38
Placements,New Family,Filipina,1000789,2019-03-03 12:58:25
Placements,Ex-MV,Ethiopian,1000791,2019-03-03 13:31:50
Placements,New Family,Other,1000793,2019-03-03 15:15:56
Placements,New Family,Filipina,1000795,2019-03-03 17:24:38
Placements,New Family,Ethiopian,1000796,2019-03-03 17:35:15
Placements,New Family,Ethiopian,1000798,2019-03-03 18:33:33
Placements,New Family,Ethiopian,1000801,2019-03-03 19:09:39
Placements,New Family,African,1000802,2019-03-03 19:35:15
Placements,New Family,Filipina,1000803,2019-03-03 20:14:17
Placements,New Family,Other,1000806,2019-03-04 10:53:43
Placements,New Family,Other,1000807,2019-03-04 11:17:40
Placements,New Family,Other,1000810,2019-03-04 13:22:26
Placements,New Family,African,1000811,2019-03-04 13:59:45
Placements,New Family,Other,1000813,2019-03-04 15:52:53
Placements,New Family,African,1000819,2019-03-04 19:19:42
Placements,New Family,Ethiopian,1000824,2019-03-05 19:47:30
Placements,New Family,Ethiopian,1000826,2019-03-06 11:43:56
Placements,New Family,Filipina,1000829,2019-03-06 13:25:18
Placements,New Family,African,1000836,2019-03-06 18:32:32
Placements,Active Family,African,1000843,2019-03-07 12:52:34
Placements,New Family,Ethiopian,1000845,2019-03-07 15:11:08
Placements,New Family,Filipina,1000847,2019-03-07 15:51:43
Placements,New Family,African,1000850,2019-03-07 17:08:06
Placements,Ex-CC-Live-In,Filipina,1000853,2019-03-07 20:10:17
Placements,New Family,African,1000857,2019-03-08 16:58:43
Placements,New Family,Other,1000858,2019-03-08 17:20:10
Placements,New Family,Filipina,1000871,2019-03-09 13:51:28
Placements,New Family,Ethiopian,1000872,2019-03-09 14:21:43
Placements,New Family,Ethiopian,1000874,2019-03-09 15:05:04
Placements,New Family,Other,1000883,2019-03-10 10:14:48
Placements,New Family,Other,1000886,2019-03-10 12:46:54
